61,62,63,64,65,61,62,63,64,65,28,29,30,31,32,61,62,63,64,65,61,62,63,64,32,28,29,30,31,32,72,73,74,75,76,72,73,74,75,76,39,40,41,42,43,72,73,74,75,76,72,73,74,75,76,39,40,41,42,43,72,73,74,75,76,72,73,74
72,73,74,75,76,72,73,74,75,76,39,40,41,42,43,72,73,74,75,76,72,73,74,75,43,39,40,41,42,43,83,84,85,86,87,83,84,85,86,87,50,51,52,53,54,83,84,85,86,87,83,84,85,86,87,50,51,52,53,54,83,84,85,86,87,83,84,85
83,84,85,86,87,83,84,85,86,87,50,51,52,53,54,83,84,85,86,87,83,84,85,86,54,50,51,52,53,54,6,7,8,9,10,6,7,8,9,10,61,62,63,64,65,6,7,8,9,10,6,7,8,9,10,61,62,63,64,65,6,7,8,9,10,6,7,8
6,7,8,9,10,6,7,8,9,10,61,62,63,64,65,6,7,8,9,10,6,7,8,9,65,61,62,63,64,65,17,18,19,20,21,17,18,19,20,21,6,7,8,9,10,17,18,19,20,21,17,18,19,20,21,6,7,8,9,10,17,18,19,20,21,17,18,19
17,18,19,20,21,17,18,19,20,21,6,7,8,9,10,17,18,19,20,21,17,18,19,20,76,72,73,74,75,76,28,29,30,31,32,28,29,30,31,32,17,18,19,20,21,28,29,30,31,32,28,29,30,31,32,17,18,19,20,21,28,29,30,31,32,28,29,30
28,29,30,31,32,28,29,30,31,32,17,18,19,20,21,28,29,30,31,32,28,29,30,31,87,83,84,85,86,87,39,40,41,42,43,39,40,41,42,43,28,29,30,31,32,39,40,41,42,43,39,40,41,42,43,28,29,30,31,32,39,40,41,42,43,39,40,41
39,40,41,42,43,39,40,41,42,43,28,29,30,31,32,39,40,41,42,43,39,40,41,42,54,50,51,52,53,54,50,51,52,53,54,50,51,52,53,54,39,40,41,42,43,50,51,52,53,54,50,51,52,53,54,39,40,41,42,43,50,51,52,53,54,50,51,52
50,51,52,53,54,50,51,52,53,54,39,40,41,42,43,50,51,52,53,54,50,51,52,53,65,61,62,63,64,65,61,62,63,64,65,61,62,63,64,65,50,51,52,53,54,61,62,63,64,65,61,62,63,64,65,50,51,52,53,54,61,62,63,64,65,61,62,63
61,62,63,64,65,61,62,63,64,65,50,51,52,53,54,61,62,63,64,65,61,62,63,64,76,72,73,74,75,76,72,73,74,75,76,72,73,74,75,76,61,62,63,64,65,72,73,74,75,76,72,73,74,75,76,61,62,63,64,65,72,73,74,75,76,72,73,74
72,73,74,75,76,72,73,74,75,76,61,62,63,64,65,72,73,74,75,76,72,73,74,75,87,83,84,85,86,87,83,84,85,86,87,83,84,85,86,87,72,73,74,75,76,83,84,85,86,87,83,84,85,86,87,72,73,74,75,76,83,84,85,86,87,83,84,85
83,84,85,86,87,83,84,85,86,87,72,73,74,75,76,83,84,85,86,87,83,84,85,86,10,6,7,8,9,10,61,62,63,75,76,83,84,85,86,87,83,84,85,86,10,83,84,85,86,87,83,84,85,86,87,72,73,74,75,76,83,84,85,86,87,83,84,85
